file_name,start_time,timestamp,sport,sub_sport,distance_km,duration_min,pace_min_km,total_ascent,total_descent,avg_heart_rate,max_heart_rate,min_heart_rate,avg_running_cadence,max_running_cadence,enhanced_avg_speed,enhanced_max_speed,avg_temperature,total_calories,total_strides
461555811089416193.fit,2024-06-26 18:38:18,2024-06-26 19:15:10,running,nan,5.15173,36.80683333333333,7.144557912261188,4.0,6.0,138.0,155,106.0,77.0,121.0,2.333,4.673,,442,2832.0
461579403074240516.fit,2024-06-27 18:41:34,2024-06-27 19:40:44,running,nan,10.49966,59.156333333333336,5.6341189460738095,22.0,28.0,156.0,172,97.0,81.0,86.0,2.958,3.344,,866,4870.0
461648819677855744.fit,2024-06-30 18:02:31,2024-06-30 19:30:34,running,nan,15.20905,87.86533333333334,5.777174335894309,41.0,42.0,161.0,186,96.0,78.0,89.0,2.885,4.202,,1297,6836.0
461670459067367425.fit,2024-07-01 17:09:44,2024-07-01 17:46:37,running,nan,5.0984799999999995,36.891666666666666,7.235816687849451,4.0,8.0,134.0,154,111.0,78.0,85.0,2.303,3.571,,423,2901.0
461717753097650177.fit,2024-07-03 17:55:39,2024-07-03 18:33:56,running,nan,7.43408,38.281666666666666,5.14948274254066,25.0,34.0,169.0,189,76.0,78.0,85.0,3.236,4.167,,634,3040.0
461810613245476865.fit,2024-07-07 17:33:13,2024-07-07 18:55:38,running,nan,15.348469999999999,82.2085,5.356136474840815,41.0,44.0,167.0,187,82.0,81.0,100.0,3.112,4.31,,1285,6775.0
462019018209919010.fit,2024-07-16 17:51:00,2024-07-16 18:31:46,running,nan,6.5859700000000005,40.775333333333336,6.191241887426352,21.0,23.0,150.0,173,87.0,78.0,81.0,2.692,3.067,29.0,559,3222.0
462043130961625088.fit,2024-07-17 18:35:21,2024-07-17 19:20:42,running,nan,7.55459,45.34866666666667,6.002796533851164,13.0,15.0,151.0,166,97.0,78.0,82.0,2.776,3.067,29.0,632,3581.0
462088661373059082.fit,2024-07-19 17:49:11,2024-07-19 18:39:33,running,nan,8.50498,50.313833333333335,5.9158085419757995,26.0,21.0,153.0,182,82.0,79.0,111.0,2.817,5.65,29.0,696,3997.0
462132229521309700.fit,2024-07-21 14:44:16,2024-07-21 15:44:40,running,nan,10.08682,60.39416666666667,5.987433766704142,25.0,22.0,155.0,174,90.0,80.0,122.0,2.784,5.435,29.0,872,4838.0
462181024109985802.fit,2024-07-23 17:30:53,2024-07-23 18:14:17,running,nan,7.569529999999999,43.392,5.732456308383744,19.0,24.0,151.0,168,80.0,81.0,85.0,2.907,3.279,29.0,605,3575.0
462205082637729795.fit,2024-07-24 18:06:48,2024-07-24 19:07:54,running,nan,11.39974,61.102333333333334,5.359976046237312,44.0,48.0,157.0,175,85.0,83.0,87.0,3.109,3.663,28.0,947,5118.0
462220283061764097.fit,2024-07-25 10:11:43,2024-07-25 10:51:36,running,nan,6.61496,39.8935,6.030799883899525,19.0,20.0,154.0,164,88.0,83.0,87.0,2.763,3.175,31.0,559,3370.0
462297156533911554.fit,2024-07-28 17:48:25,2024-07-28 18:24:52,running,nan,6.57071,36.45166666666667,5.54759937155447,19.0,20.0,165.0,178,87.0,81.0,88.0,3.004,3.571,32.0,575,3005.0
462321082991411200.fit,2024-07-29 18:14:00,2024-07-29 19:10:21,running,nan,9.36221,55.716499999999996,5.951212374001438,25.0,25.0,153.0,180,89.0,81.0,90.0,2.801,4.525,32.0,775,4542.0
462389104001187843.fit,2024-08-01 17:09:02,2024-08-01 17:32:41,running,nan,3.86396,23.653000000000002,6.121440180540172,2.0,3.0,144.0,161,83.0,79.0,83.0,2.723,3.257,28.0,300,1869.0
462414616106926084.fit,2024-08-02 19:47:14,2024-08-02 19:56:48,running,nan,1.70187,9.502666666666666,5.583661893485793,7.0,10.0,155.0,181,86.0,79.0,98.0,2.985,5.319,22.0,132,768.0
462499200119111680.fit,2024-08-06 10:18:35,2024-08-06 11:06:23,running,nan,7.519430000000001,47.800666666666665,6.3569534747536265,15.0,13.0,152.0,168,93.0,80.0,83.0,2.622,2.849,33.0,656,3873.0
462528971756568579.fit,2024-08-07 17:35:04,2024-08-07 18:16:18,running,nan,7.388319999999999,41.23350000000001,5.5809033718084775,15.0,16.0,154.0,187,84.0,81.0,96.0,2.986,5.348,30.0,585,3383.0
462610562715516929.fit,2024-08-11 06:01:53,2024-08-11 06:42:01,running,nan,7.345470000000001,40.128166666666665,5.4629814929019735,4.0,7.0,167.0,175,126.0,80.0,86.0,3.051,3.289,27.0,637,3251.0
