start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,max_cadence,avg_cadence,max_power,total_work,normalized_power,sub_sport,avg_temperature
2024-07-16 17:51:00,2024-07-16 18:31:46,running,2446.58,2446.52,6585.97,21.0,23.0,559,3222.0,81.0,78.0,1020.0,173,87.0,150.0,3.067,3.067,2.692,2.692,211.0,0.0,0.0,0.0,0.0,2.7100000381469727,462019018209919010.fit,,,,,,,29.0
2024-07-17 18:35:21,2024-07-17 19:20:42,running,2720.98,2720.92,7554.59,13.0,15.0,632,3581.0,82.0,78.0,1060.0,166,97.0,151.0,3.067,3.067,2.776,2.776,218.0,0.0,0.0,0.0,0.0,2.7850000858306885,462043130961625088.fit,,,,,,,29.0
2024-07-21 14:44:16,2024-07-21 15:44:40,running,3623.65,3623.65,10086.82,25.0,22.0,872,4838.0,122.0,80.0,1040.0,174,90.0,155.0,5.435,5.435,2.784,2.784,218.0,0.0,0.0,0.0,0.0,2.7929999828338623,462132229521309700.fit,,,,,,,29.0
2024-07-23 17:30:53,2024-07-23 18:14:17,running,2603.58,2603.52,7569.53,19.0,24.0,605,3575.0,85.0,81.0,1070.0,168,80.0,151.0,3.279,3.279,2.907,2.907,228.0,0.0,0.0,0.0,0.0,2.9230000972747803,462181024109985802.fit,,,,,,,29.0
2024-07-24 18:06:48,2024-07-24 19:07:54,running,3666.15,3666.14,11399.74,44.0,48.0,947,5118.0,87.0,83.0,1120.0,175,85.0,157.0,3.663,3.663,3.109,3.109,244.0,0.0,0.0,0.0,0.0,3.134000062942505,462205082637729795.fit,,,,,,,28.0
2024-07-25 10:11:43,2024-07-25 10:51:36,running,2393.8,2393.61,6614.96,19.0,20.0,559,3370.0,87.0,83.0,990.0,164,88.0,154.0,3.175,3.175,2.763,2.763,217.0,0.0,0.0,0.0,0.0,2.7769999504089355,462220283061764097.fit,,,,,,,31.0
2024-07-28 17:48:25,2024-07-28 18:24:52,running,2187.1,2187.1,6570.71,19.0,20.0,575,3005.0,88.0,81.0,1110.0,178,87.0,165.0,3.571,3.571,3.004,3.004,235.0,0.0,0.0,0.0,0.0,3.0209999084472656,462297156533911554.fit,,,,,,,32.0
2024-08-01 17:09:02,2024-08-01 17:32:41,running,1419.19,1419.18,3863.96,2.0,3.0,300,1869.0,83.0,79.0,1030.0,161,83.0,144.0,3.257,3.257,2.723,2.723,213.0,0.0,0.0,0.0,0.0,2.7320001125335693,462389104001187843.fit,,,,,,,28.0
2024-08-06 10:18:35,2024-08-06 11:06:23,running,2868.09,2868.04,7519.43,15.0,13.0,656,3873.0,83.0,80.0,970.0,168,93.0,152.0,2.849,2.849,2.622,2.622,205.0,0.0,0.0,0.0,0.0,2.63100004196167,462499200119111680.fit,,,,,,,33.0
2024-08-07 17:35:04,2024-08-07 18:16:18,running,2474.08,2474.01,7388.32,15.0,16.0,585,3383.0,96.0,81.0,1090.0,187,84.0,154.0,5.348,5.348,2.986,2.986,232.0,0.0,0.0,0.0,0.0,3.003000020980835,462528971756568579.fit,,,,,,,30.0
2024-08-11 06:01:53,2024-08-11 06:42:01,running,2407.69,2407.69,7345.47,4.0,7.0,637,3251.0,86.0,80.0,1130.0,175,126.0,167.0,3.289,3.289,3.051,3.051,238.0,0.0,0.0,0.0,0.0,3.058000087738037,462610562715516929.fit,,,,,,,27.0
2024-08-13 17:57:31,2024-08-13 18:46:11,running,2919.99,2919.99,6610.95,16.0,34.0,535,3815.0,85.0,77.0,870.0,153,86.0,133.0,2.857,2.857,2.264,2.264,176.0,0.0,0.0,0.0,0.0,2.2669999599456787,462668662348742660.fit,,,,,,,30.0
2024-08-14 16:57:36,2024-08-14 17:57:56,running,3620.04,3620.03,11502.34,53.0,44.0,971,4886.0,84.0,80.0,1180.0,195,89.0,168.0,3.717,3.717,3.177,3.177,250.0,0.0,0.0,0.0,0.0,3.2149999141693115,462691003694874629.fit,,,,,,,30.0
2024-08-20 17:30:25,2024-08-20 18:18:57,running,2912.52,2912.52,8294.84,19.0,24.0,665,3847.0,82.0,79.0,1080.0,164,90.0,152.0,3.205,3.205,2.848,2.848,223.0,0.0,0.0,0.0,0.0,2.8570001125335693,462830559528255490.fit,,,,,,,29.0
