start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,sub_sport,max_cadence,avg_cadence,max_power,total_work,normalized_power,avg_temperature
2024-06-02 17:42:10+00:00,2024-06-02 19:01:35+00:00,running,4765.19,4762.33,14356.44,45.0,47.0,1168,6494.0,98.0,81.0,1100.0,184,95,166.0,3.571,3.571,3.012,3.012,225.0,0.0,0.0,0.0,0.0,3.0390000343322754,460999049644900355.fit,,,,,,,
2024-06-08 14:53:28+00:00,2024-06-08 16:40:09+00:00,stand_up_paddleboarding,6401.86,2859.24,536.21,,,197,,,,,116,67,91.0,1.703,1.703,0.189,0.189,0.0,,,,,,461136624695148546.fit,,,,,,,
2024-06-14 16:30:46+00:00,2024-06-14 18:13:49+00:00,running,6183.64,6149.45,12304.64,485.0,475.0,1181,6880.0,127.0,72.0,830.0,182,94,148.0,5.587,5.587,2.0,2.0,180.0,0.0,0.0,0.0,0.0,2.4749999046325684,461276516077043717.fit,,,,,,,
2024-06-19 18:05:30+00:00,2024-06-19 18:20:11+00:00,training,880.9,878.7,0.0,,,121,,,,,122,72,95.0,,,,,,,,,,,461392591861088257.fit,strength_training,,,,,,
2024-06-26 18:38:18+00:00,2024-06-26 19:15:10+00:00,running,2211.98,2208.41,5151.73,4.0,6.0,442,2832.0,121.0,77.0,900.0,155,106,138.0,4.673,4.673,2.333,2.333,177.0,0.0,0.0,0.0,0.0,2.3359999656677246,461555811089416193.fit,,,,,,,
2024-06-30 18:02:31+00:00,2024-06-30 19:30:34+00:00,running,5282.83,5271.92,15209.05,41.0,42.0,1297,6836.0,89.0,78.0,1100.0,186,96,161.0,4.202,4.202,2.885,2.885,220.0,0.0,0.0,0.0,0.0,2.8980000019073486,461648819677855744.fit,,,,,,,
2024-07-07 17:33:13+00:00,2024-07-07 18:55:37+00:00,running,4943.45,4932.51,15348.47,41.0,44.0,1285,6775.0,100.0,81.0,1140.0,187,82,167.0,4.31,4.31,3.112,3.112,237.0,0.0,0.0,0.0,0.0,3.134000062942505,461810613245476865.fit,,,,,,,
2024-07-11 15:11:51+00:00,2024-07-11 15:23:16+00:00,swimming,685.11,471.28,296.42,,,77,,,,,120,94,,1.818,1.818,0.629,0.629,,,,,,,461900789302984709.fit,,51.0,39.0,,,,
2024-07-12 11:53:42+00:00,2024-07-12 13:06:11+00:00,swimming,4348.94,330.01,200.37,,,54,,,,,132,96,,1.449,1.449,0.607,0.607,,,,,,,461928122743291906.fit,,39.0,34.0,,,,
2024-07-12 17:51:06+00:00,2024-07-12 19:00:31+00:00,swimming,4165.01,742.56,404.97,,,120,,,,,141,101,,1.351,1.351,0.545,0.545,,,,,,,461928122745389057.fit,,47.0,32.0,,,,
2024-07-13 09:13:16+00:00,2024-07-13 10:34:00+00:00,swimming,4844.42,1109.43,528.32,,,179,,,,,131,95,110.0,1.124,1.124,0.476,0.476,,,,,,,461963914050043914.fit,,38.0,28.0,,,,26.0
2024-07-19 17:49:11+00:00,2024-07-19 18:39:33+00:00,running,3021.89,3018.83,8504.98,26.0,21.0,696,3997.0,111.0,79.0,1060.0,182,82,153.0,5.65,5.65,2.817,2.817,221.0,0.0,0.0,0.0,0.0,2.8399999141693115,462088661373059082.fit,,,,,,,29.0
2024-07-20 15:22:19+00:00,2024-07-20 15:48:52+00:00,swimming,1593.69,261.64,147.07,,,43,,,,,114,92,104.0,1.299,1.299,0.562,0.562,,,,,,,462109546725277699.fit,,46.0,37.0,,,,26.0
2024-07-28 11:36:49+00:00,2024-07-28 12:00:03+00:00,training,1394.17,313.21,0.0,,,48,,,,,107,74,93.0,,,,,,,,,,,462291002384744451.fit,strength_training,,,,,,32.0
2024-07-29 18:14:00+00:00,2024-07-29 19:10:21+00:00,running,3381.2,3342.99,9362.21,25.0,25.0,775,4542.0,90.0,81.0,1030.0,180,89,153.0,4.525,4.525,2.801,2.801,219.0,0.0,0.0,0.0,0.0,2.815999984741211,462321082991411200.fit,,,,,,,32.0
2024-08-02 19:47:14+00:00,2024-08-02 19:56:47+00:00,running,573.08,570.16,1701.87,7.0,10.0,132,768.0,98.0,79.0,1130.0,181,86,155.0,5.319,5.319,2.985,2.985,221.0,0.0,0.0,0.0,0.0,3.0209999084472656,462414616106926084.fit,,,,,,,22.0
2024-08-11 04:57:06+00:00,2024-08-11 05:57:28+00:00,cycling,3622.75,3570.77,21235.71,288.0,295.0,583,,,,,179,75,141.0,14.928,14.928,5.947,5.947,0.0,,,,,,462610562447081474.fit,road,0.0,0.0,0.0,0.0,0.0,25.0
2024-08-15 06:24:34+00:00,2024-08-15 11:38:03+00:00,hiking,18809.18,16999.24,11379.5,784.0,803.0,1474,,,,620.0,136,65,100.0,4.628,4.628,0.669,0.669,0.0,0.0,0.0,0.0,0.0,,462708092832874501.fit,,112.0,35.0,,,,28.0
2024-08-25 15:51:21+00:00,2024-08-25 17:11:30+00:00,running,4808.79,4764.3,14376.4,42.0,40.0,1191,6500.0,84.0,81.0,1110.0,171,89,158.0,3.436,3.436,3.018,3.018,237.0,0.0,0.0,0.0,0.0,3.0390000343322754,462945384942043137.fit,,,,,,,26.0
2024-09-09 16:16:05+00:00,2024-09-09 17:41:11+00:00,running,5105.89,5086.15,15029.35,35.0,37.0,1362,6707.0,85.0,79.0,1120.0,194,90,167.0,3.534,3.534,2.955,2.955,232.0,0.0,0.0,0.0,0.0,2.9760000705718994,463293751886905347.fit,,,,,,,23.0
